0	['experi', 'rabbit', 'easi', 'housebreak', 'like', 'pee', 'poop', 'place', 'everi', 'time', 'case', 'put', 'littl', 'bit', 'wast', 'litter', 'box', 'happili', 'use', 'litter', 'box', 'import', 'go', 'somewher', 'els', 'miss', 'edg', 'kick', 'wast', 'box', 'clean', 'well', 'immedi', 'otherwis', 'spot', 'becom', 'exist', 'place', 'pee', 'poop', 'clean', 'box', 'save', 'littl', 'bit', 'wast', 'put', 'clean', 'box', 'smell', 'right', 'foolproof', 'method', 'get', 'piec', 'wood', 'soak', 'urin', 'put', 'box', 'along', 'drop', 'cage', 'litter', 'box', 'week', 'gener', 'tri', 'first', 'method', 'find', 'use', 'box', 'first', 'day', 'go', 'litter', 'box', 'week', 'method', 'wood', 'block', 'work', 'well', 'move', 'hutch', 'outdoor', 'litter', 'box', 'indoor', 'indoor', 'cage', 'use', 'cage', 'litter', 'box', 'attach', 'litter', 'box', 'section', 'cage', 'rabbit', 'use', 'wast', 'sure', 'use', 'clay', 'newsprint', 'litter', 'type', 'necessarili', 'good', 'rabbit', 'wood', 'litter', 'okay', 'sure', 'fir', 'import', 'thing', 'clean', 'anywher', 'accid', 'high', 'side', 'box', 'help', 'avoid', 'kick', 'soil', 'litter', 'box', 'big', 'caus', 'failur', 'experi']
1	['rabbit', 'easili', 'train', 'use', 'litter', 'tray', 'sometim', 'reliabl', 'averag', 'cat', 'natur', 'instinct', 'wild', 'rabbit', 'use', 'one', 'area', 'latrin', 'still', 'appar', 'domest', 'counterpart', '1', 'actual', 'process', 'similar', 'pad', 'train', 'dog', 'litter', 'box', 'train', 'cat', 'keep', 'rabbit', 'confin', 'small', 'area', 'train', 'move', 'accid', 'litter', 'box', 'rabbit', 'natur', 'start', 'use', 'area', 'busi', 'sourc', 'link', 'detail', '1', 'litter', 'train', 'rabbit', 'emma', 'magnu', 'msc', 'associ', 'pet', 'behaviour', 'counsellor', 'apbc', 'org', 'uk']
2	['could', 'multitud', 'thing', 'lack', 'exercis', 'play', 'big', 'role', 'dog', 'act', 'lot', 'unus', 'energi', 'like', 'act', 'give', 'treat', 'prais', 'encourag', 'behavior', 'tri', 'prevent', 'want', 'refrain', 'treat', 'prais', 'want', 'mean', 'time', 'make', 'clear', 'want', 'want', 'focu', 'attent', 'come', 'across', 'child', 'anoth', 'dog', 'keep', 'right', 'next', 'never', 'front', 'use', 'short', 'leash', 'tri', 'pull', 'tilt', 'leash', 'upward', 'creat', 'unusu', 'pressur', 'bottom', 'neck', 'caus', 'look', 'see', 'go', 'still', 'turn', 'attent', 'forc', 'nudg', 'side', 'leg', 'yield', 'find', 'dog', 'sometim', 'step', 'front', 'hold', 'muzzl', 'forc', 'look', 'also', 'import', 'remain', 'calm', 'easi', 'get', 'upset', 'dog', 'abil', 'read', 'emot', 'tens', 'angri', 'start', 'tune', 'sourc', 'person', 'experi', 'black', 'lab', 'guid', 'insight', 'cesar', 'millan']
3	['lot', 'success', 'crate', 'train', 'dog', 'reliev', 'sleep', 'eat', 'keep', 'enclos', 'area', 'bring', 'outsid', 'go', 'reliev', 'teach', 'ok', 'recommend', 'buy', 'expand', 'crate', 'want', 'give', 'enough', 'room', 'stand', 'turn', 'around', 'enough', 'start', 'go', 'corner', 'grow', 'increas', 'size', 'crate', 'accordingli', 'human', 'societi', 'great', 'info', 'crate', 'train']
4	['see', 'dog', 'whisper', 'dog', 'sens', 'anxieti', 'owner', 'first', 'thing', 'need', 'awar', 'anxieti', 'walk', 'puppi', 'far', 'puppi', 'go', 'still', 'puppi', 'fear', 'unnatur', 'want', 'acclim', 'walk', 'urban', 'area', 'first', 'train', 'walk', 'leash', 'well', 'mean', 'walk', 'dog', 'happen', 'accompani', 'keep', 'eye', 'forward', 'heel', 'walk', 'puppi', 'puppi', 'wander', 'give', 'leash', 'small', 'yank', 'puppi', 'get', 'accustom', 'lot', 'calmer', 'tri', 'noisi', 'environ']
5	['paperjam', 'right', 'crate', 'train', 'probabl', 'effect', 'way', 'quickli', 'housetrain', 'puppi', 'also', 'add', 'routin', 'incred', 'import', 'hous', 'train', 'puppi', 'take', 'dog', 'schedul', 'time', 'everi', 'day', 'also', 'tri', 'take', 'shortli', 'eat', 'puppi', 'might', 'go', 'shortli', '30', 'minut', 'meal', 'want', 'set', 'pup', 'success', 'lastli', 'let', 'emphas', 'accid', 'happen', 'natur', 'frustrat', 'end', 'world', 'want', 'scold', 'puppi', 'rub', 'nose', 'dog', 'realli', 'learn', 'way', 'usual', 'ape', 'emot', 'appeas', 'figur', 'wrong', 'well', 'tri', 'prevent', 'accid', 'happen', 'rather', 'react', 'one', 'alreadi', 'transpir']
6	['feed', 'cat', 'raw', 'meat', 'oblig', 'carnivor', 'human', 'process', 'meat', 'introduc', 'bacteria', 'contamin', 'meat', 'might', 'otherwis', 'want', 'understand', 'introduc', 'raw', 'meat', 'care', 'diet', 'sourc', 'trust', 'local', 'butcher', 'follow', 'good', 'practic', 'save', 'bone', 'dog', 'probabl', 'good', 'sign', 'monitor', 'cat', 'care', 'anyth', 'happen', 'concern', 'unusu', 'stool', 'vomit', 'etc', 'stop', 'immedi', 'potenti', 'take', 'vet', 'check', 'asid', 'realli', 'good', 'food', 'product', 'cat', 'much', 'littl', 'fill', 'spend', 'time', 'read', 'label', 'look', 'product', 'meat', 'high', 'meat', 'volum', 'cat', 'appreci']
7	['cat', 'like', 'dog', 'need', 'lot', 'exercis', 'importantli', 'also', 'share', 'instinct', 'kill', 'except', 'much', 'great', 'degre', 'would', 'say', 'cat', 'need', 'one', 'thing', 'happen', 'exercis', 'buy', 'interact', 'toy', 'someth', 'kill', 'exercis', 'buy', 'mous', 'kill', 'mean', 'someth', 'kill', 'toy', 'someth', 'chew', 'laser', 'chase', 'someth', 'cat', 'chase', 'someth', 'actual', 'anyth', 'build', 'frustrat', 'aggress']
8	['dog', 'young', 'think', 'like', 'slowli', 'accustom', 'urban', 'walk', 'think', 'natur', 'respons', 'see', 'small', 'dog', 'cower', 'wimper', 'fear', 'consol', 'pet', 'effect', 'way', 'dissuad', 'fear', 'well', 'ignor', 'dog', 'feed', 'fear', 'emot', 'see', 'think', 'best', 'bet', 'teach', 'dog', 'walk', 'urban', 'area', 'fun', 'bring', 'treat', 'toy', 'walk', 'zani', 'unpredict', 'way', 'go', 'short', 'burt', 'sprint', 'etc', 'dog', 'eventu', 'begin', 'associ', 'urban', 'walk', 'fun', 'time', 'owner', 'good', 'spirit', 'univers', 'agre', 'upon', 'among', 'trainer', 'believ', 'true', 'other', 'believ', 'pet', 'fear', 'dog', 'harm', 'train', 'procedur', 'person', 'subscrib', 'theori', 'pet', 'prais', 'dog', 'want']
9	['trick', 'cesar', 'milan', 'dog', 'whisper', 'use', 'break', 'puppi', 'fear', 'live', 'urban', 'environ', 'hold', 'tail', 'dog', 'afraid', 'tail', 'tend', 'go', 'leg', 'head', 'bow', 'comfort', 'surround', 'put', 'tail', 'upward', 'simpli', 'well', 'simpli', 'dachshund', 'hold', 'tail', 'walk', 'might', 'help', 'feel', 'confid', 'seem', 'silli', 'work', 'cesar', 'netflix', 'recommend', 'watch', 'episod', '2', 'dog', 'whisper', 'http', 'movi', 'netflix', 'com', 'wimovi', 'the_very_best_of_dog_whisperer_with_cesar_millan', '70270440']
10	['vet', 'say', 'corn', 'base', 'food', 'bad', 'may', 'bia', 'opinion', 'sinc', 'sell', 'kind', 'specialti', 'brand', 'pet', 'food', 'explan', 'domest', 'dog', 'eat', 'corn', 'base', 'food', 'get', 'use', 'digest', 'system', 'build', 'handl', 'meat', 'ask', 'brand', 'asid', 'one', 'sell', 'would', 'recommend', 'almost', 'say', 'nutro', 'best', 'brand', 'feed', 'dog', 'benefit', 'includ', 'easi', 'digest', 'poop', 'less', 'coat', 'feel', 'well', 'shed', 'less', 'switch', 'dog', 'nutro', 'wit', 'result', 'except', 'shed', 'less', 'dog', 'shed', 'keep', 'mind', 'nutro', 'may', 'expens', 'purchas']
11	['one', 'theori', 'hear', 'plastic', 'bag', 'contain', 'remnant', 'fat', 'anim', 'byproduct', 'cat', 'tast', 'smell', 'seem', 'littl', 'doubt', 'though', 'imposs', 'give', 'bag', 'make', 'petroleum', 'product', 'anoth', 'theori', 'plastic', 'acquir', 'scent', 'substanc', 'cat', 'react', 'either', 'theori', 'kind', 'make', 'sens', 'cat', 'lick', 'bag', 'time', 'common', 'connect', 'see', 'plastic', 'come', 'contact', 'thing', 'groceri', 'store', 'lend', 'bit', 'credenc', 'second', 'theori']
12	['would', 'say', 'case', 'tri', 'let', 'dog', 'go', 'night', 'may', 'cost', 'night', 'sleep', 'eventu', 'dog', 'learn', 'go', 'night', 'allow', 'make', 'sure', 'take', 'dog', 'right', 'bed', 'time', 'dog', 'resort', 'go', 'insid', 'hous', 'anger', 'also', 'crate', 'dog', 'night', 'may', 'option', 'behavior', 'stop']
13	['cat', 'tend', 'nibbl', 'sign', 'affect', 'long', 'latch', 'tri', 'draw', 'blood', 'chunk', 'skin', 'danger', 'dedic', 'stop', 'behavior', 'find', 'spray', 'bottl', 'work', 'sinc', 'may', 'alway', 'hand', 'reduc', 'opportun', 'cat', 'nibbl', 'may', 'also', 'reduc', 'behavior', 'may', 'also', 'find', 'cat', 'give', 'bite', 'cri', 'attent', 'cat', 'regularli', 'play', 'pay', 'attent', 'cat', 'bite', 'may', 'stop', 'togeth']
14	['read', 'coverag', 'care', 'investig', 'pet', 'insur', 'sever', 'year', 'ago', 'find', 'use', 'catastroph', 'cost', 'premium', 'equal', 'cost', 'annual', 'exam', 'vet', 'check', 'shot', 'provid', 'minim', 'discount', 'point', 'play', 'odd', 'pet', 'develop', 'cancer', 'glad', 'insur', 'develop', 'someth', 'requir', 'medic', 'surgeri', 'may', 'help', 'much', 'addit', 'often', 'age', 'threshold', 'polici', 'look', 'ten', 'year', 'old', 'cat', 'old', 'best', 'way', 'evalu', 'cost', 'compar', 'premium', 'coverag', 'amount', 'past', 'current', 'data', 'fail', 'estim', 'vet']
15	['kitten', 'gener', 'handl', 'dairi', 'product', 'adult', 'cat', 'usual', 'feed', 'cat', 'dairi', 'product', 'lead', 'digest', 'issu', 'result', 'diarrhea', 'vomit', 'simpli', 'stop', 'give', 'kitten', 'demand', 'would', 'like', 'stop', 'behavior', 'cat', 'learn', 'meow', 'result', 'reward', 'back', 'inform', 'dairi', 'cat', 'human', 'food', 'danger', 'cat', 'petmd', 'com']
16	['chees', 'contain', 'lot', 'fat', 'tasti', 'treat', 'cat', 'realli', 'treat', 'think', 'probabl', 'want', 'reduc', 'quantiti', 'bit', 'mayb', 'fifth', 'make', 'special', 'snack', 'instead', 'look', 'altern', 'treat', 'hard', 'treat', 'keep', 'teeth', 'good', 'shape']
17	['exercis', 'import', 'young', 'kitten', 'cat', 'get', '1', '2', 'hour', 'day', 'exercis', 'get', 'play', 'find', 'game', 'love', 'exampl', 'kitten', 'play', 'unless', 'mous', 'tri', 'buy', 'toy', 'see', 'one', 'like', 'best']
